_id,Lokasi,Kecamatan,Kelurahan,Rayon,Luas genangan,Tinggi genangan,Lama genangan,Skor Luas Genangan,Skor Tinggi Genangan,Skor Lama Genangan
94,Jl. Penjaringansari Timur,Rungkut,Penjaringansari,Rayon Jambangan,0.677365,9,31,75,25,25
95,Rungkut Kidul,Rungkut,Rungkut Kidul,Rayon Jambangan,1.143154,4,16,75,0,0
96,Jl. Keputih Tegal Timur,Sukolilo,Keputih,Rayon Jambangan,1.972737,10,31,100,25,25
97,Jl. Keputih Tegal,Sukolilo,Keputih,Rayon Jambangan,10.2,10,16,100,25,0
98,Jl. Siwalankerto Timur,Siwalan Kerto,Siwalan Kerto,Rayon Jambangan,0.74223,9,16,75,25,0
99,Kp. Merisi Selatan,Wonocolo,Bendul Merisi,Rayon Jambangan,1.040533,10,58,75,25,25
100,Perumahan Bendul Merisi,Wonocolo,Bendul Merisi,Rayon Jambangan,9.2,4,40,100,0,25
101,Jl. Panjang Jiwo IX,Tenggilis Mejoyo,Panjang Jiwo,Rayon Jambangan,12,4,16,100,0,0
102,Jl. Menur Pumpungan,Sukolilo,Menur Pumpungan,Rayon Jambangan,0.471186,4,16,50,0,0
103,Kp. Menur Pumpungan,Sukolilo,Menur Pumpungan,Rayon Jambangan,0.335837,10,16,50,25,0
104,Jl. Baratajaya,Gubeng,Baratajaya,Rayon Jambangan,1.737368,4,16,100,0,0
105,Perumahan Penjaringansari,Rungkut,Penjaringansari,Rayon Jambangan,0.160132,4,16,50,0,0
106,Perumahan Rungkut Harapan,Rungkut,Rungkut Kidul,Rayon Jambangan,12.1,4,40,100,0,25
107,Ngagel Madya (Gereja Santa Maria),Gubeng,Pucang Sewu,Rayon Jambangan,0.61425,10,31,75,25,25
108,Jl. Keputih,Sukolilo,Keputih,Rayon Jambangan,0.801458,9,31,75,25,25
109,Jl. Jetis Kulon,Wonokromo,Wonokromo,Rayon Jambangan,0.509372,10,58,75,25,25
110,Jl. Ketintang,Gayungan,Ketintang,Rayon Jambangan,0.49914,10,31,50,25,25
111,Jl. Ketintang Madya dan sekitarnya,Ketintang,Ketintang,Rayon Jambangan,0.352063,9,16,50,25,0
112,Jl. Bongkaran,Pabean Cantikan,Bongkaran,Rayon Gubeng,0.198765,4,5,50,0,0
113,Jl. Songoyudan,Pabean Cantikan,Nyamplungan,Rayon Gubeng,0.282563,4,5,50,0,0
114,Jl. Siwalankerto dan sekitarnya,Siwalan Kerto,Siwalan Kerto,Rayon Jambangan,0.469372,9,40,50,25,25
